ACCUMSAN,2
ADIPISCING,1
AMET,2
ARCU,1
CONGUE,1
CONSECTETUR,2
CURSUS,1
DOLOR,1
DUI,1
DUIS,1
ELIT,1
ERAT,2
EROS,2
EST,1
FACILISIS,1
FEUGIAT,1
HENDRERIT,1
IMPERDIET,1
INTEGER,1
INTERDUM,2
IPSUM,1
JUSTO,1
LECTUS,2
LIGULA,1
LOREM,1
MAGNA,1
MALESUADA,1
MASSA,1
NAM,1
NISL,1
NON,2
NULLA,1
NULLAM,1
NUNC,2
PLACERAT,1
PRETIUM,2
PROIN,1
QUIS,1
RHONCUS,1
SAGITTIS,1
SCELERISQUE,1
SED,1
SEMPER,1
SIT,2
SOLLICITUDIN,2
SUSPENDISSE,1
TEMPUS,1
TRISTIQUE,1
ULTRICES,1
VEL,1
VELIT,1
VESTIBULUM,2
VIVAMUS,1
VULPUTATE,1
